Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,CURRENT_FAILURE
-7.337185121626884,-11.866906476103036,-11.308092494473774,-7.998431037633315,-5.848057815715708,0
-4.809927069720056,-12.058562526806938,-11.861567750332522,-8.185976014863385,-5.6238865918172,0
-5.113713985447744,-6.682395949710169,-10.289094539124084,-7.172270968443588,-7.90208588822298,0
-7.886926238461556,-8.682317740555053,-9.710046904970914,-6.737252974031736,-4.388610194477856,0
-3.2643008108277383,-8.571022914274604,-11.344643976544596,-5.6776421312523,-5.45102964044499,0
-4.8459750133430415,-12.697222189573859,-8.506962238521472,-5.831535706765263,-5.142643155560193,0
-4.1803590181896455,-6.11520474399739,-9.239980375254259,-5.088388407244604,-6.492879241127911,0
-2.510969153391237,-8.558858895054609,-9.291867761712172,-5.555301799793888,-5.735696618507885,0
-1.97967171808471,-11.695009181684588,-10.189581300787994,-4.422871138091489,-6.382137546539961,0
-1.2061695810164292,-11.270995674672916,-8.378489979543412,-3.4668408220913514,-4.75269296461662,0
-3.7610524926861704,-10.13716619959247,-10.544799017171044,-2.8783999048874263,-5.863111916701615,0
-0.4963999397702572,-8.758870673472398,-11.284163120973584,-4.519167626492532,-4.681589347139002,0
-3.8791991016160554,-10.040769241725146,-10.059551789181514,-4.63051633354741,-6.292461524367632,0
-2.567396181266172,-11.983271411332977,-12.316819989433696,-2.657219869397628,-3.7328597074253187,0
-11.078250354276271,-6.0860074400306345,-11.018503390496058,-3.970574563480281,-3.455748335610129,0
-6.875100647351745,-5.751840665909959,-11.561713215848771,-2.19525997049114,-8.314000032177391,0
-2.9744700408753735,-9.341544899512947,-10.588885943378756,-1.3021302320281207,-4.863875103886355,0
-5.323551695882825,-11.725450280253451,-11.398695167911175,-1.5425095845367587,-5.891074648637145,0
-7.428107553426091,-8.166366770445798,-8.727405508342832,-2.240878650656448,-6.585014516265331,0
-7.0251668973155725,-6.43763108377613,-9.09427644157408,-2.016449374688497,-6.158512769994582,0
-7.480628234105475,-5.981432830060957,-8.275646950284251,-0.037529704705398625,-5.9726043372227275,0
-5.263668859624389,-6.82722604796025,-7.5075886074311065,1.982849637085363,-4.534803193258915,0
-8.803789992340576,7.318850886850543,-7.690222942869817,2.4399746988417332,-7.092740851685059,0
-7.277908566882128,-4.998144851227698,-6.705278973969321,0.382030275742105,-5.456574301168666,0
-9.61142702702239,-6.667056088588228,-8.952671426445907,-0.18028530967361744,-4.419711561787601,0
-7.696680528832077,-5.467202402691161,-8.77142557183986,0.07384651276440857,-7.895413810659446,0
-10.415986544064287,-5.66522109600034,-7.445622888552311,-0.8280442896225716,-5.63525244648204,0
-6.8826479245104775,-3.04436709938685,-6.672139462810814,-0.9475205044025269,-6.940439606296412,0
-12.813574147772723,-6.446328266651537,-7.266422872066069,9.95795431871965,-5.766068507750227,0
