Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,CURRENT_FAILURE
-6.252273975225037,-6.9021400492165865,-7.23517083577366,-2.4867762760296754,-6.431670732220734,0
-3.68953980733113,-5.664844702272344,-5.147777210540561,-5.976721032817535,-6.009232232124993,0
-3.5815245115196506,-3.0330542568076972,-5.72303535162621,-3.556772769342842,-5.287284279065124,0
-2.906648779560252,-6.336598745727313,-5.186048079355662,-5.729134661759204,-5.107363220988526,0
-1.8307865626685422,-5.434739123415657,-5.183573736092097,-5.5243655594558945,-4.730919952995059,0
-0.7285974813515983,-2.7166984222811337,-6.689071871888867,-6.404958590456467,-4.846908960704433,0
-1.8627815385810238,-4.647873729522141,-3.631045915360563,-4.255773997611699,-3.915670236493633,0
-1.9067108523143677,-6.389614673641887,-3.0743541505139067,-4.3034356756412695,-5.5401591797358885,0
-5.0397911918433715,-5.177138203899838,-3.482893054006178,-4.035638124515105,-4.136821313208413,0
-3.132962203385331,-2.3434709427396503,-3.2701627077824673,-5.999979678667286,-5.1715902436639505,0
-2.4951671930057113,-3.755814012218083,-2.42981125857918,-4.6535784135203855,-4.214151436199218,0
-4.036493788244948,-6.872946057570471,-4.063694108139006,-3.7035206628111608,-4.7911309045629435,0
-7.471739708345476,-4.565729462263485,-3.311136276764566,-5.304525940020618,-5.2950201722424985,0
-1.6329678018489946,-1.9314878852955677,-4.682019122946548,-5.030291960151239,-3.758367486937249,0
-2.4979950503425723,-2.1551667183440935,-4.495570369960423,-5.263107815138123,-3.5290489141987917,0
1.3747526040736164,-3.5996948645665934,-2.3604843346631985,-4.707699802023985,-4.1375931553977665,0
-0.04617663577142128,-4.320165365320081,-1.3391268095623619,-5.033197528080223,-4.808317340085262,0
-2.6001063009829855,-4.724755953523262,-4.593432654968064,-3.386036514585438,-5.14680278276494,0
-4.653122277227,-5.247726518444346,-2.6005899542268183,-7.029534085663723,-5.183818870788203,0
-2.9372522170360797,-4.781815420208333,-1.64545177448705,-2.971721852125496,-6.508917134276416,0
-4.417022522470635,-5.992073994324778,-3.1117707128293337,-4.441363877699644,-6.895612070533781,0
