Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,CURRENT_FAILURE
-5.797006957704184,17.77763211973715,15.901265935930024,-5.378179092419983,4.255514087199987,11.07213875524741,7.619545060827171,5.545879962512661,-13.885789602235487,-1.4655941759021363,13.600676310374672,-17.93513180842108,0
-6.885329661713567,18.47505199530643,18.037561984056723,-5.904555409897773,2.136725248751155,10.655850518854734,8.365340433594392,5.407046811697688,-7.809573214680108,-1.2035496872998317,12.61961111867525,-10.657773427598567,0
-6.61159303361105,23.236811877690627,17.26517369614002,-1.3997821059748894,5.26235005011908,14.672457344705226,6.08137660514967,10.207174761201296,-4.919313179306789,-1.449503905404633,10.950030824201331,-9.674414210013818,0
-5.977218492653784,18.498386350001823,19.110857733643165,-3.0316792415645453,4.850994117724074,16.499165517582473,6.176586616512299,7.351722561509453,1.434162978371048,-2.8162142481998207,9.401930929226626,-14.982977972354535,0
-6.279504476609493,23.66688459815111,18.481131035179047,-6.960921421532515,6.80633783712384,14.513981451764504,8.844560536388421,5.314348288805686,-1.267211044036559,-2.827651594252097,9.13625302174201,-9.868987877875067,0
-6.847788142407961,23.32857379412028,16.85716489754684,4.361766423293316,5.911034667864342,15.591694345332263,9.126154315883719,8.356332030522655,-0.3091194078315618,-2.4246059522013264,8.359121686898092,-19.312036676895097,0
-5.468405886387421,24.417979363983385,27.561724969785832,-4.7738773942927635,13.994913338485794,17.128175860336842,10.38438297373041,8.263177900489538,-0.3551693551758872,-1.5841505276696286,13.764167349349195,-8.890841849468394,0
-6.03835138429248,24.75631656647994,21.614613142972576,-3.318300901736539,1.0663613233154003,17.545136884038776,8.167369654009077,5.185984013222258,0.16248164889900973,-2.217590089965559,8.556642749990358,-7.5826764351615585,0
-5.6458232756642115,23.09232740558347,13.784204509643306,-6.973291293294586,1.0830328520279542,14.456747014325249,9.580155926424252,3.840708813080129,1.3258627847930091,-1.1438061507253223,6.386160287901243,-13.369374490019016,0
-5.936977830314022,21.80524325764675,19.6707051877964,1.2565521901306695,-0.957528944802359,16.994712335107387,6.207071174593438,8.182664239284328,0.4742265632194922,-0.23609702036847047,8.279150861372443,-8.328030419233496,0
