Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,CURRENT_FAILURE
6.397362690677092,3.115387005594828,-3.406145811101909,6.872578830231827,-11.44248116223924,-13.123653629972464,0
15.67761129200641,5.671726709319366,-3.270865481531344,8.074698325132868,-9.554276680085795,-12.818716812022709,0
8.260034522102487,-1.336597769443161,-6.292864897880259,4.088963762284768,-24.812788760865313,-11.775984068712257,0
6.191107166137131,3.8272115209676416,-5.2771192866900005,9.191128832131854,-10.754885016378763,-13.954324747847467,0
9.958911353437912,-0.12633506649528958,-3.6150409318912664,6.655556745222385,-7.832153974534522,-12.643307462733532,0
6.295866221835646,2.2162926088233585,-1.6242550492484513,8.035327006636777,-11.777032049952732,-10.432467222045556,0
10.52696271525744,2.965008045909932,-1.302735423324981,7.074467043871587,-8.95650738052674,-11.931162404877966,0
8.531934213296386,1.0139785722640036,0.206114520917962,7.636076293775963,-8.557564027354674,-7.97105905320206,0
4.607772767000217,3.3825234161748954,0.8666285616789415,8.790649917888077,-8.729076186344233,-9.291117560615062,0
5.268144560309456,3.938933574469031,0.1777813027495303,7.562047779076898,-11.930672775555024,-12.12759110502148,0
9.074542996117192,5.002454752453918,-1.6509409622630873,7.192345935327025,-8.969975963760033,-10.416334996911623,0
9.09886774562502,1.8695609782071663,-1.8822528226828559,5.569854211882999,-11.028074960089908,-10.377452872516931,0
7.129921514076096,2.7794913221071447,-1.9305928711398064,7.381860954490572,-8.461482697891855,-14.264271808085681,0
9.75519842141941,-0.2690741121993283,-0.9595767490007658,8.96398758849436,-8.712419122958773,-13.642621582588976,0
7.3383215963782895,5.23866477199278,-2.6925846852391544,6.110434743496311,-6.765933513401136,-14.447911633789824,0
9.023544905528246,0.7989248783276867,-0.19160060128520584,6.168776431241655,-8.215743358918466,-10.90134253690631,0
8.717899406527586,1.433061548272983,-1.3849172800547458,8.340064245534645,-6.612296500470003,-11.472762156695019,0
10.772109147170688,0.10008199035633436,-4.9988399005655975,6.172893249936343,-6.739959669943402,-9.369815962178285,0
6.331502390353235,4.095910846223853,0.1132946440728988,8.03322448328838,-6.2041925233746245,-14.191709684919317,0
8.02321329110974,0.0840607805186473,-3.7873697228612695,7.617882212033484,-6.744329547323787,-12.13121251613745,0
6.849387973713092,4.361284078984358,-4.573211297454298,6.21062704633777,-10.520226865631603,-12.282014440318514,0
8.289136101193133,0.13800802071427198,-2.2124405653180648,8.468377195361148,-8.263914759758672,-14.064434713763852,0
11.439401953617224,0.5531603107932701,-2.7295585259628616,8.25987083766039,-3.5739168955990817,-16.611935938674833,0
10.11526111555096,0.8180737977733333,-4.240846650527027,5.999123530088461,-7.00426473359368,-11.220544749711335,0
4.60889704435586,-0.3362088835474799,-14.478366265462926,7.566867190679083,-7.719607871222347,-12.33463486554113,0
6.686179315507921,-2.8600770149355608,-4.70400984623615,6.772349487863592,-5.888702061358022,-9.545856132209533,0
8.262628709646364,-1.1202803582415723,-4.973840867148292,8.72547429990642,-3.435841072906187,-12.131309952461685,0
