Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,CURRENT_FAILURE
-14.631254987632863,1.6573978654684325,-12.79801167146712,-2.54009188848105,-5.855121199941191,-17.123570781261805,-10.835954604715964,-9.66389458282901,3.978717643701227,16.665774226532054,0
-17.92760114602468,2.5575297630644447,-13.000468090884644,-3.774365065034717,-6.9078437282213505,-19.999500370405933,-12.334511001119342,-5.5239079061113445,1.9479135437679256,17.674861941035786,0
-17.020075509891203,1.438024989690815,-9.45891762005856,-3.9250793824359027,-7.947854055469985,-17.88508011197282,-11.223883119155255,-7.0050950357353035,5.3558124660827175,19.853422719420188,0
-15.256929534344849,1.8388964026363035,-7.670731054674297,-5.7183708566190194,-3.5787881769176435,-16.70075763838478,-9.766190227815436,-2.2839398797097585,1.4251122507373335,17.825137329240057,0
-17.52280291762077,1.5568803489127718,-24.368458525013423,-4.627471582960625,-6.477101195828724,-16.410334255843598,-8.673576286702417,-2.797022170720394,4.041959372561246,18.022939696545905,0
-17.696062870758023,2.8896010747647427,-10.762851729191947,-4.344807315044844,-8.068783263478483,-17.51491338699959,-23.864089864977082,-3.2176299493544276,4.729357377923636,21.771364022507044,0
-18.43206752766569,3.8617934710757393,-14.001793689433772,-2.727342158921903,-19.632806819957327,-13.88440649997176,-26.142750878985893,-6.909032818146129,3.2460599077560452,19.421634067056864,0
-19.211662540757036,3.797992662978307,-13.40688639192956,-2.6190145460088097,-8.209539210360578,-14.823476974794938,-10.165319446605997,-3.171161783979559,1.651783420687618,19.919240656238646,0
-17.76423171116931,3.357427733330934,-12.935496904128943,-3.133804483122031,-6.459973937653425,-17.824805193329773,-8.234258942674789,-5.106667795534541,4.41486457438531,19.822743397100204,0
-16.846449929707624,3.4654740924857643,-11.668560595559894,-3.5584462010405464,-2.223928102439446,-14.284625217802942,-7.573399789846019,-2.874411768226195,2.357555351827952,22.465051481165347,0
-15.755808797431104,2.703091791119699,-9.970519117895156,-2.14893342026921,-5.406189653379807,-17.042682507925246,-8.655068176328689,-3.3776009582504627,5.110147004745575,19.396478708818854,0
-14.449204470328313,4.742133875916653,-7.423421085506947,-4.093340614572878,-3.848364855163979,-14.672648782400085,-9.079061625709556,-8.666768337528717,3.5381751959263585,20.91504181995677,0
-16.400430729814552,5.589639156846405,-5.064657922858249,-4.954602318114995,-2.9062440166834964,-13.003317535723085,-4.773617600926741,-9.485417395570485,7.139809587603298,21.761109206754988,0
-14.593114530452137,4.668391730186364,-6.041297072532435,-1.6015287664959554,-5.321213370428906,-14.289487785529818,-6.5896483036759905,-9.390605333590216,5.215003424862571,24.308176472819174,0
-14.702772565532936,-2.8428247658333055,-5.3439634999806,-1.9181900432963221,-4.382070995813946,-17.036147154049807,-5.243808189277299,-16.08133178830444,4.243111899353255,21.323346992543097,0
-15.627821990839227,3.0732547023315777,-4.171332099824922,-2.554859612655927,-2.527335756257917,-17.187305429356005,-5.630826419375431,-16.14046404017482,5.377057574390686,21.907288011457474,0
-15.956662150956939,5.121282258901672,8.340008421545877,-0.3792345015961942,-1.3695846138701238,-15.787488814659087,-4.87650768104298,-32.20239103819784,4.603574424889932,24.813246041555512,0
-16.349264456138,2.831187131179259,-6.0422384766472135,-2.0213288039309503,-2.346996284254332,-17.42983134092986,-6.271254112434485,-14.699438542551626,4.579893619814044,21.626650469526684,0
-17.49818378912471,3.7705641826688696,-4.488154647843799,-2.301354802941905,-3.0135274001627788,-16.92690967386862,-6.305379274214468,-13.97480815134928,5.450379069676419,20.98884476135797,0
-17.999703405978213,3.671616035541532,-6.771435455739092,-3.2875340562409407,-1.432535802034884,-16.734125921370925,-4.930928684564317,-16.00948699689339,4.587808331549304,22.590824285820204,0
-19.402039432641182,0.7933258424956735,-10.406120371599528,-5.275391798779673,-1.7134854179776926,-17.689921700112308,-6.8311022438314195,-19.320998120498125,6.62810400090878,22.686960421386615,0
-18.940380206288456,0.41327294090767336,-9.386200659974431,-2.0535363393312873,-0.3592643793431718,-15.60750362086185,-4.004712664879707,-13.429794242105723,5.633720770933193,21.232294631479533,0
-21.67853197449647,-0.8601596623824298,-7.048198095809589,-2.0884214243012824,-1.5806100924175384,-17.049582381180688,-2.8979619298335715,-15.982805410965636,2.7232060799926265,19.430860629243913,0
-17.549944333389412,-1.939175043797142,-6.64072072988021,-2.230127511540271,-4.446138279153299,-18.795415826109785,-6.33205332466537,-14.935460846014347,3.462895106013531,19.915764570847987,0
-15.876417828283428,-2.8854506209926516,-7.137166290966565,-3.5005838193337406,-0.8271606541428835,-12.700242356783397,-4.152800471730576,-7.544325787287603,5.6671109556361445,23.271757133349386,0
-16.894403666403452,-3.862316696306319,-6.017435082926399,-3.789792736753687,-1.0700658756365362,-14.757108815527843,-3.7228896011568198,-9.478121612167394,-0.09365123864816693,20.565189366023297,0
-17.57864779534803,-3.1666461026559056,-9.858323100201106,-3.938741670854423,-4.336607989069673,-13.706034214249167,-4.690353784051836,-6.696423929978573,2.7751282847064527,19.68875613232091,0
-17.424294210901735,-3.0342072361959316,-14.153661362528013,-5.211417770634895,-0.7648680473093286,-9.161742250788256,-5.264541912084179,-2.380334121533349,2.6932091274024508,18.70369014673536,0
-17.621797189719523,-2.496321632590906,-13.230979349308951,-5.979049321968993,-0.6999970019729802,-10.532885401142497,-3.4831686200321927,-4.903205561042023,3.0239003775731224,19.62495884841242,0
-18.56737505976201,-3.9830175894069857,-15.263974476214223,-4.676733029043557,0.6380441492905691,-14.77804790661557,-5.6886350221525595,-3.465768713617852,3.1509876579380687,17.982024243541957,0
-15.998760324820537,-1.6810123800920564,-14.07890516526559,-3.7290149229839753,0.20746165707243347,-14.541922626656444,-3.6128986563919483,-17.036566977075058,2.0876026833307226,17.318217949424078,0
-13.800251976796138,-3.5816446619772564,-14.2337745292078,-0.37369440937345244,-2.4487357868777555,-18.304013454511093,-5.8794264789222614,-5.867629814848888,5.1619445967116135,6.024105169984063,0
-17.120435944294876,-2.061982622728305,-14.469710134721124,-2.6789027100718394,-2.977149016243687,-16.786960294820187,-5.866187715526006,-4.289289618823437,4.5011631959645,8.350444368270717,0
-17.975632230742615,-1.8361503213089305,-12.834864385046638,-3.898942188065818,-0.5225253524659057,-13.463393102012358,-3.425220615136699,-5.268220201786743,5.606651825427537,16.808892969476535,0
-10.329040267504794,6.6586384261384435,-14.151411320050565,-4.407019071097707,2.207222807945327,-16.85720791715175,-4.736233529033532,-6.806721607926015,5.466003497703073,16.082280260471443,0
