Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,CURRENT_FAILURE
-3.675931771791996,-6.703576692097012,-7.2377215565355755,-4.853895928778045,-6.550181081022756,0
-2.024121094675168,-4.810929573708055,-7.173245989177617,-5.059851284212771,-6.070058868545484,0
-3.9693671519017446,-2.8469922289874434,-5.314241695889654,-5.455326507267163,-6.133771711047652,0
-4.115517639090322,-5.8528697445395235,-4.148112713527339,-4.281705406648325,-4.597931053406827,0
-1.5945028575031321,-4.923526950644141,-3.1134201189182003,-3.64661979475457,-3.8940412711602255,0
-4.717909810777637,-4.450202727676622,-5.138185676499258,-4.735254739315584,-4.588742132061549,0
-4.159651969097556,-4.666229930351194,-3.4266808655936716,-2.862020160852256,-0.6820714549735616,0
-3.2167889756384214,-4.2459556654373385,-3.131145339627795,-4.057309321028213,-4.134068418267567,0
-1.841523502468004,-2.469507885317611,-5.254086450650079,-4.7220866742775955,-2.815702476513592,0
-5.195104023523124,-5.297211595433916,-3.2995164624838895,-4.552416569485945,-5.325459686814786,0
-3.77936581312654,-3.1783234821192226,-4.054197416074281,-3.4410377968578607,-3.468637750296409,0
-0.5277972213531239,1.0422193610932258,-2.786699297484567,-7.160166079939376,-5.519774123848661,0
-3.1306476209348886,-6.384415241807863,-3.3038860771167453,-4.686107727162423,-4.070300166324964,0
-3.344446431858724,-4.812758039377748,-3.0773787395312313,-4.571959100828608,-9.741965420798493,0
-1.5325565998318358,-5.553052592287118,-2.713366683610865,-3.338446883784428,-3.1247428456256863,0
-0.5173357908793981,-3.7814325750904416,-1.75109839285079,-5.816736122482376,-4.2001789143916985,0
-1.6514860215980287,-4.878719985177579,-3.6052671519173445,-6.000444958247156,-5.1910911566268325,0
-2.6489314560051773,-5.691253855135781,-2.247133986012801,-4.240866791349452,-6.551020635529886,0
-2.9971027903726415,-4.965687785254408,-4.458834248181428,-3.731491779363348,-5.3943516193207905,0
